freq,items
0.43,13;29;63;?;?;?
0.65,29;63;22;170;?;?
0.57,17;22;18;?;?;?
0.48,29;25;63;18;170;?
0.49,29;25;63;6;?;?
0.43,63;25;170;?;?;?
0.44,29;17;25;170;?;?
0.42,29;63;6;170;?;?
0.41,29;2;151;22;?;?
0.41,29;25;63;22;18;170
0.4,29;25;25;2;?;?
0.41,29;25;17;22;18;170
0.6,25;2;151;?;?;?
0.4,29;63;17;22;170;?
0.64,29;17;6;?;?;?
0.41,29;25;25;170;?;?
0.49,17;6;151;?;?;?
0.41,25;63;2;?;?;?
0.41,25;2;22;170;?;?
0.42,20;17;18;?;?;?
0.41,20;73;170;?;?;?
0.46,20;25;170;?;?;?
0.43,29;25;63;22;18;?
0.41,29;63;185;?;?;?
0.5,29;25;17;22;170;?
0.44,63;25;22;?;?;?
0.42,63;25;22;170;?;?
0.45,25;25;22;?;?;?
0.54,63;25;151;?;?;?
0.4,20;19;185;?;?;?
0.53,25;17;22;?;?;?
0.45,17;25;22;170;?;?
0.43,29;151;170;?;?;?
0.43,29;151;22;?;?;?
0.43,29;2;18;?;?;?
0.41,20;17;170;?;?;?
0.46,13;22;170;?;?;?
0.48,20;25;17;?;?;?
0.46,17;25;170;?;?;?
0.42,29;17;6;22;?;?
0.41,29;2;151;18;?;?
0.66,29;17;18;?;?;?
0.52,29;17;2;?;?;?
0.44,63;25;18;?;?;?
0.43,151;22;170;?;?;?
0.44,6;151;18;?;?;?
0.44,25;6;22;170;?;?
0.65,29;63;25;?;?;?
0.5,63;6;151;?;?;?
0.41,29;17;26;?;?;?
0.41,29;63;17;170;?;?
0.41,25;63;151;?;?;?
0.57,63;22;18;?;?;?
0.5,6;18;170;?;?;?
0.44,25;25;22;170;?;?
0.53,25;63;18;?;?;?
0.45,29;63;25;2;?;?
0.68,29;25;6;?;?;?
0.4,25;6;2;?;?;?
0.51,29;6;22;?;?;?
0.53,17;22;18;170;?;?
0.52,6;22;170;?;?;?
0.53,29;17;22;18;170;?
0.43,29;63;25;2;151;?
0.53,29;17;151;?;?;?
0.51,25;63;22;170;?;?
0.52,25;63;170;?;?;?
0.45,25;25;170;?;?;?
0.45,29;17;25;2;?;?
0.43,29;63;24;?;?;?
0.41,13;73;170;?;?;?
0.47,17;25;18;?;?;?
0.41,63;17;170;?;?;?
0.64,29;25;18;170;?;?
0.41,29;2;18;170;?;?
0.48,29;6;2;?;?;?
0.52,29;17;25;151;?;?
0.59,29;25;2;151;?;?
0.41,17;6;22;170;?;?
0.45,29;25;17;6;?;?
0.43,25;2;22;?;?;?
0.43,20;25;63;?;?;?
0.6,29;6;151;?;?;?
0.45,63;25;2;?;?;?
0.45,25;6;22;?;?;?
0.44,13;73;25;?;?;?
0.41,29;25;2;18;?;?
0.44,6;151;22;?;?;?
0.44,25;63;25;?;?;?
0.41,29;22;147;?;?;?
0.42,2;151;22;170;?;?
0.49,29;6;22;170;?;?
0.51,29;25;63;22;?;?
0.41,29;6;151;18;?;?
0.45,25;25;18;?;?;?
0.43,29;63;25;170;?;?
0.52,29;25;63;17;?;?
0.43,29;17;25;2;151;?
0.44,29;63;25;22;?;?
0.41,73;22;170;?;?;?
0.42,29;25;63;25;?;?
0.42,29;2;22;170;?;?
0.57,29;63;22;18;?;?
0.5,29;25;63;170;?;?
0.44,20;25;2;?;?;?
