freq,items
0.53,28;1;104;201;?;?;?;?;?
0.45,20;77;29;1;23;?;?;?;?
0.41,77;29;28;104;?;?;?;?;?
0.51,41;178;202;?;?;?;?;?;?
0.59,48;23;201;202;?;?;?;?;?
0.48,20;15;104;203;?;?;?;?;?
0.44,29;48;202;203;204;?;?;?;?
0.42,20;41;27;104;?;?;?;?;?
0.46,29;1;23;104;201;203;?;?;?
0.53,20;15;41;1;?;?;?;?;?
0.41,20;15;41;48;23;104;?;?;?
0.53,29;27;201;?;?;?;?;?;?
0.45,41;1;104;201;202;203;?;?;?
0.44,41;29;48;28;178;1;?;?;?
0.42,15;77;28;178;104;?;?;?;?
0.5,77;23;201;202;?;?;?;?;?
0.53,20;15;77;41;1;?;?;?;?
0.44,29;48;23;202;203;204;?;?;?
0.4,41;29;178;23;104;203;?;?;?
0.43,41;48;1;23;201;202;203;?;?
0.46,27;178;23;201;202;203;?;?;?
0.49,27;1;23;201;202;?;?;?;?
0.46,15;29;48;27;?;?;?;?;?
0.41,41;29;178;201;202;203;?;?;?
0.48,48;1;201;203;?;?;?;?;?
0.45,41;29;1;23;201;202;?;?;?
0.46,77;41;27;178;1;?;?;?;?
0.4,15;77;41;48;178;?;?;?;?
0.46,20;77;29;27;178;1;?;?;?
0.45,20;77;23;201;203;?;?;?;?
0.54,77;29;27;?;?;?;?;?;?
0.41,20;15;29;48;178;?;?;?;?
0.41,15;28;178;201;?;?;?;?;?
0.5,41;1;104;201;202;?;?;?;?
0.5,20;15;29;27;178;?;?;?;?
0.5,178;23;201;202;203;?;?;?;?
0.59,15;104;201;202;?;?;?;?;?
0.6,41;48;27;?;?;?;?;?;?
0.57,15;77;48;1;?;?;?;?;?
0.41,15;28;1;201;?;?;?;?;?
0.52,20;202;203;?;?;?;?;?;?
0.43,20;77;41;48;1;23;?;?;?
0.41,20;15;77;23;201;203;?;?;?
0.45,29;23;201;202;203;204;?;?;?
0.48,41;48;201;203;?;?;?;?;?
0.45,48;201;202;203;204;?;?;?;?
0.41,41;27;1;23;202;203;?;?;?
0.45,29;201;202;204;?;?;?;?;?
0.43,20;48;201;?;?;?;?;?;?
0.63,20;104;201;?;?;?;?;?;?
0.42,15;77;29;48;27;?;?;?;?
0.59,48;104;201;202;?;?;?;?;?
0.41,20;77;48;104;201;?;?;?;?
0.43,27;23;201;203;204;?;?;?;?
0.46,41;29;23;104;201;203;?;?;?
0.46,15;41;29;28;178;1;?;?;?
0.5,20;15;77;41;27;178;?;?;?
0.41,20;29;48;104;201;?;?;?;?
0.45,48;23;104;203;204;?;?;?;?
0.45,77;178;104;?;?;?;?;?;?
0.46,178;1;201;202;203;?;?;?;?
0.4,20;15;41;178;23;104;?;?;?
0.41,41;1;201;204;?;?;?;?;?
0.58,15;77;41;?;?;?;?;?;?
0.43,20;15;77;41;1;23;?;?;?
0.52,20;77;202;203;?;?;?;?;?
0.52,77;104;201;203;?;?;?;?;?
0.42,41;27;178;23;203;?;?;?;?
0.44,29;28;202;203;?;?;?;?;?
0.45,15;77;23;203;?;?;?;?;?
0.53,20;15;27;1;?;?;?;?;?
0.45,77;104;204;?;?;?;?;?;?
0.4,27;1;202;204;?;?;?;?;?
0.42,48;178;23;201;?;?;?;?;?
0.41,20;15;41;27;1;23;?;?;?
0.5,29;48;1;23;202;?;?;?;?
0.4,20;15;41;27;104;?;?;?;?
0.45,41;28;1;23;202;?;?;?;?
0.43,15;41;29;48;178;?;?;?;?
0.42,41;27;178;23;104;202;203;?;?
0.44,28;1;23;203;?;?;?;?;?
0.51,1;23;201;202;?;?;?;?;?
0.4,15;29;48;104;202;?;?;?;?
0.41,15;41;48;27;178;?;?;?;?
0.44,15;178;1;104;?;?;?;?;?
0.44,15;29;27;104;?;?;?;?;?
0.45,20;77;104;201;204;?;?;?;?
0.42,41;29;27;28;1;?;?;?;?
0.61,41;178;104;?;?;?;?;?;?
0.56,41;29;28;178;23;?;?;?;?
0.68,41;27;23;?;?;?;?;?;?
0.5,27;201;203;?;?;?;?;?;?
0.6,41;29;27;23;?;?;?;?;?
0.49,15;41;29;28;1;?;?;?;?
0.66,178;1;23;?;?;?;?;?;?
0.42,41;28;178;23;202;203;?;?;?
0.47,41;28;1;23;104;201;?;?;?
0.52,20;41;29;28;?;?;?;?;?
0.51,29;48;23;104;201;203;?;?;?
0.43,20;77;41;29;28;178;1;?;?
0.59,15;77;104;201;202;?;?;?;?
0.5,15;77;28;23;?;?;?;?;?
0.59,20;104;202;?;?;?;?;?;?
0.41,77;41;178;23;104;?;?;?;?
0.44,77;48;28;?;?;?;?;?;?
0.46,28;178;202;203;?;?;?;?;?
0.45,27;1;104;201;203;?;?;?;?
0.5,28;202;203;?;?;?;?;?;?
0.44,77;41;29;48;23;?;?;?;?
0.41,15;29;104;202;?;?;?;?;?
0.45,20;77;204;?;?;?;?;?;?
0.46,1;104;201;202;203;?;?;?;?
0.41,15;27;202;?;?;?;?;?;?
0.43,20;41;29;27;23;?;?;?;?
0.42,20;15;29;28;178;23;?;?;?
0.46,41;29;23;104;202;203;?;?;?
0.45,15;77;27;104;?;?;?;?;?
0.51,20;77;41;27;178;?;?;?;?
0.45,41;27;104;201;203;?;?;?;?
0.46,28;178;23;201;202;203;?;?;?
0.47,15;41;23;104;?;?;?;?;?
0.55,41;29;23;201;?;?;?;?;?
0.51,29;1;104;202;?;?;?;?;?
0.41,15;77;48;27;178;?;?;?;?
0.53,48;28;1;?;?;?;?;?;?
0.46,20;15;77;23;202;?;?;?;?
0.43,41;48;1;104;201;203;?;?;?
0.43,41;48;27;104;?;?;?;?;?
0.45,41;29;48;23;104;203;?;?;?
0.43,29;48;28;23;104;?;?;?;?
0.42,48;28;201;?;?;?;?;?;?
0.42,41;28;178;202;203;?;?;?;?
0.45,15;202;204;?;?;?;?;?;?
0.41,15;77;28;201;?;?;?;?;?
0.41,15;29;27;178;104;?;?;?;?
0.41,41;29;1;23;201;202;203;?;?
0.49,20;15;77;23;104;201;?;?;?
0.52,178;1;201;202;?;?;?;?;?
0.43,20;27;178;104;?;?;?;?;?
0.48,20;15;203;?;?;?;?;?;?
0.47,20;29;27;23;?;?;?;?;?
0.4,20;41;29;27;178;23;?;?;?
0.45,20;77;41;178;23;?;?;?;?
0.52,41;29;28;1;23;?;?;?;?
0.4,20;15;77;29;1;104;?;?;?
0.51,41;27;178;104;201;?;?;?;?
0.46,77;48;1;23;?;?;?;?;?
0.6,41;29;1;23;?;?;?;?;?
0.51,15;23;201;202;?;?;?;?;?
0.46,15;41;29;27;178;1;?;?;?
0.52,20;15;77;178;1;?;?;?;?
0.46,41;27;203;?;?;?;?;?;?
0.48,15;27;104;?;?;?;?;?;?
0.47,15;48;178;?;?;?;?;?;?
0.45,20;104;201;204;?;?;?;?;?
0.66,41;29;178;1;?;?;?;?;?
0.44,15;48;27;178;?;?;?;?;?
0.52,41;29;48;27;178;?;?;?;?
0.41,29;27;178;104;202;203;?;?;?
0.51,41;29;104;202;?;?;?;?;?
0.45,20;77;29;27;23;?;?;?;?
0.42,41;48;23;201;204;?;?;?;?
0.44,20;48;1;104;?;?;?;?;?
0.45,41;29;1;23;104;202;?;?;?
0.42,15;48;202;?;?;?;?;?;?
0.41,20;77;29;1;23;104;?;?;?
0.59,15;104;202;?;?;?;?;?;?
0.41,77;41;48;178;?;?;?;?;?
0.55,28;178;23;104;201;?;?;?;?
0.63,15;77;201;?;?;?;?;?;?
0.4,41;27;1;23;104;202;203;?;?
0.56,20;15;77;29;48;?;?;?;?
0.54,15;28;178;1;?;?;?;?;?
0.45,23;104;204;?;?;?;?;?;?
0.42,29;1;204;?;?;?;?;?;?
0.45,104;202;204;?;?;?;?;?;?
0.4,20;41;29;48;27;?;?;?;?
0.45,77;104;201;202;203;204;?;?;?
0.5,15;41;27;23;?;?;?;?;?
0.7,29;48;104;?;?;?;?;?;?
0.43,28;104;204;?;?;?;?;?;?
0.58,28;1;23;104;?;?;?;?;?
0.41,41;29;1;23;104;201;202;203;?
0.41,15;77;41;28;104;?;?;?;?
0.49,27;1;23;104;201;202;?;?;?
0.5,27;23;201;203;?;?;?;?;?
0.44,41;23;201;202;204;?;?;?;?
0.4,77;28;23;201;?;?;?;?;?
0.52,15;202;203;?;?;?;?;?;?
0.42,15;48;104;202;?;?;?;?;?
0.59,20;27;178;?;?;?;?;?;?
0.44,41;48;27;178;23;?;?;?;?
0.54,41;48;23;104;201;202;?;?;?
0.41,29;27;178;23;203;?;?;?;?
0.5,28;1;104;202;?;?;?;?;?
0.45,41;29;48;104;201;203;?;?;?
0.41,20;15;48;1;104;?;?;?;?
0.41,77;29;1;23;104;?;?;?;?
0.45,15;23;104;203;?;?;?;?;?
0.41,29;48;27;201;?;?;?;?;?
0.46,48;1;23;104;201;202;203;?;?
0.49,29;28;23;201;202;?;?;?;?
0.41,20;41;1;23;104;?;?;?;?
0.43,20;15;77;29;48;104;?;?;?
0.44,15;28;201;?;?;?;?;?;?
0.47,20;77;41;29;28;178;?;?;?
0.6,27;23;201;?;?;?;?;?;?
0.44,41;28;178;1;202;?;?;?;?
0.43,41;29;27;178;1;23;104;?;?
0.4,20;77;41;29;48;104;?;?;?
0.44,15;77;178;23;104;?;?;?;?
0.45,15;77;1;104;?;?;?;?;?
0.45,77;104;202;203;204;?;?;?;?
0.45,20;15;77;41;27;178;1;?;?
0.48,41;48;27;23;?;?;?;?;?
0.83,41;29;48;?;?;?;?;?;?
0.53,28;1;23;201;?;?;?;?;?
0.49,77;29;178;1;?;?;?;?;?
0.42,41;29;28;178;104;201;202;?;?
0.44,29;27;23;203;?;?;?;?;?
0.51,20;29;27;1;?;?;?;?;?
0.45,48;104;203;204;?;?;?;?;?
0.44,41;29;27;178;1;104;?;?;?
0.56,41;48;1;23;104;?;?;?;?
0.47,20;41;28;23;?;?;?;?;?
0.47,20;41;27;23;?;?;?;?;?
0.49,15;41;29;48;23;?;?;?;?
0.43,20;15;27;104;?;?;?;?;?
0.4,48;1;104;201;203;204;?;?;?
0.44,20;15;29;28;23;?;?;?;?
0.61,29;1;104;?;?;?;?;?;?
0.42,29;1;202;203;204;?;?;?;?
0.48,41;29;1;201;202;?;?;?;?
0.43,15;27;23;104;201;?;?;?;?
0.61,29;48;23;104;201;?;?;?;?
0.44,41;48;178;104;?;?;?;?;?
0.42,41;48;23;201;203;204;?;?;?
0.41,41;48;23;104;201;204;?;?;?
0.51,41;104;201;203;?;?;?;?;?
0.45,41;29;48;1;104;201;202;?;?
0.44,20;77;29;48;104;?;?;?;?
0.41,15;29;27;178;1;23;?;?;?
0.43,27;201;203;204;?;?;?;?;?
0.41,15;77;28;178;23;104;?;?;?
0.42,77;27;178;104;?;?;?;?;?
0.43,27;104;201;204;?;?;?;?;?
0.51,29;48;23;104;202;203;?;?;?
0.4,15;27;178;104;201;?;?;?;?
0.45,29;48;1;23;104;202;203;?;?
0.46,28;178;1;23;201;202;?;?;?
0.4,15;41;28;104;201;?;?;?;?
0.43,27;23;203;204;?;?;?;?;?
0.41,41;178;1;104;201;202;203;?;?
0.57,29;48;23;202;?;?;?;?;?
0.51,27;178;1;201;?;?;?;?;?
0.48,41;29;28;104;201;?;?;?;?
0.52,15;201;202;203;?;?;?;?;?
0.45,41;29;28;202;?;?;?;?;?
0.44,20;15;77;41;29;23;?;?;?
0.4,28;1;202;203;204;?;?;?;?
0.41,28;178;1;23;104;202;203;?;?
0.41,41;27;1;104;203;?;?;?;?
0.41,29;27;178;23;201;203;?;?;?
0.43,28;104;201;203;204;?;?;?;?
0.41,41;1;202;203;204;?;?;?;?
0.43,15;27;1;23;104;?;?;?;?
0.49,29;27;23;201;202;?;?;?;?
0.41,41;1;202;204;?;?;?;?;?
0.5,20;15;41;28;178;?;?;?;?
0.63,29;48;178;?;?;?;?;?;?
0.44,15;77;27;23;104;?;?;?;?
0.59,20;77;104;202;?;?;?;?;?
0.49,20;15;41;28;1;?;?;?;?
0.52,20;15;77;28;1;?;?;?;?
0.4,20;15;77;48;1;23;104;?;?
0.41,28;178;1;104;201;202;203;?;?
0.42,20;15;202;204;?;?;?;?;?
0.54,20;15;41;27;?;?;?;?;?
0.43,28;201;202;203;204;?;?;?;?
0.44,15;48;23;201;?;?;?;?;?
0.53,77;23;104;201;?;?;?;?;?
0.54,20;77;41;29;?;?;?;?;?
0.46,41;29;27;1;23;104;?;?;?
0.48,41;27;1;202;?;?;?;?;?
0.55,27;23;201;202;?;?;?;?;?
0.48,41;27;178;202;?;?;?;?;?
0.54,20;77;29;27;?;?;?;?;?
0.62,27;178;104;?;?;?;?;?;?
0.42,15;1;23;201;?;?;?;?;?
0.69,48;1;23;?;?;?;?;?;?
0.41,20;77;27;178;23;104;?;?;?
0.43,27;104;201;203;204;?;?;?;?
0.43,41;29;178;1;23;201;?;?;?
0.44,15;29;48;1;104;?;?;?;?
0.54,20;77;29;178;?;?;?;?;?
0.56,28;104;201;202;?;?;?;?;?
0.54,15;41;28;1;?;?;?;?;?
0.45,48;23;202;204;?;?;?;?;?
0.42,20;15;77;41;29;28;178;1;?
0.41,29;28;178;23;104;201;203;?;?
0.41,29;28;178;201;203;?;?;?;?
0.41,15;77;27;1;104;?;?;?;?
0.48,41;48;104;201;203;?;?;?;?
0.4,41;29;28;23;203;?;?;?;?
0.42,20;15;23;201;203;?;?;?;?
0.4,77;41;29;48;104;?;?;?;?
0.41,15;29;201;202;?;?;?;?;?
0.43,41;27;1;201;203;?;?;?;?
0.41,20;41;48;1;104;?;?;?;?
0.5,15;77;23;201;202;?;?;?;?
0.44,29;28;23;104;203;?;?;?;?
0.45,15;104;202;204;?;?;?;?;?
0.45,15;41;29;28;23;?;?;?;?
0.4,15;178;23;202;?;?;?;?;?
0.44,41;29;48;27;178;1;?;?;?
0.4,41;29;27;23;202;203;?;?;?
0.47,20;29;1;23;?;?;?;?;?
0.41,20;77;41;29;27;23;?;?;?
0.64,41;48;23;104;?;?;?;?;?
0.47,41;29;28;1;104;?;?;?;?
0.43,27;178;1;201;203;?;?;?;?
0.41,41;29;48;1;104;203;?;?;?
0.45,41;29;48;28;23;?;?;?;?
0.52,41;29;28;23;104;?;?;?;?
0.46,29;27;1;202;?;?;?;?;?
0.62,20;15;77;23;?;?;?;?;?
0.45,20;77;104;201;203;204;?;?;?
0.5,20;77;29;23;?;?;?;?;?
0.42,20;77;41;48;23;104;?;?;?
0.61,15;28;178;?;?;?;?;?;?
0.48,20;15;77;29;23;?;?;?;?
0.73,41;29;178;?;?;?;?;?;?
0.52,29;23;202;203;?;?;?;?;?
0.41,41;27;1;104;201;203;?;?;?
0.43,41;27;178;201;202;203;?;?;?
0.4,41;29;28;104;201;203;?;?;?
0.46,27;178;23;104;203;?;?;?;?
0.46,48;1;23;201;203;?;?;?;?
0.45,29;23;104;201;202;204;?;?;?
0.42,178;23;104;204;?;?;?;?;?
0.45,29;23;104;201;204;?;?;?;?
0.48,15;41;104;?;?;?;?;?;?
0.45,41;27;23;203;?;?;?;?;?
0.4,41;178;1;23;104;202;203;?;?
0.47,41;28;178;23;104;201;202;?;?
0.47,41;29;28;23;104;201;?;?;?
0.42,77;28;178;1;23;?;?;?;?
0.59,28;23;104;201;?;?;?;?;?
0.6,48;1;23;104;?;?;?;?;?
0.67,29;27;23;?;?;?;?;?;?
0.53,20;15;178;1;?;?;?;?;?
0.41,20;15;77;201;202;203;204;?;?
0.4,77;48;28;178;?;?;?;?;?
0.55,178;104;202;?;?;?;?;?;?
0.42,20;15;29;48;23;104;?;?;?
0.46,28;178;104;201;203;?;?;?;?
0.42,20;15;77;41;28;178;23;?;?
0.71,27;178;23;?;?;?;?;?;?
0.4,15;48;1;202;?;?;?;?;?
0.48,1;201;203;?;?;?;?;?;?
0.55,27;104;201;202;?;?;?;?;?
0.4,20;15;29;28;1;23;?;?;?
0.54,41;48;23;201;202;?;?;?;?
0.43,41;29;1;203;?;?;?;?;?
0.52,20;104;201;202;203;?;?;?;?
0.41,20;29;48;27;178;?;?;?;?
0.47,29;27;1;104;201;?;?;?;?
0.44,29;28;1;23;202;?;?;?;?
0.55,41;28;178;23;104;?;?;?;?
0.44,41;29;178;23;104;202;?;?;?
0.57,20;15;77;41;?;?;?;?;?
0.45,20;77;23;202;203;?;?;?;?
0.45,20;77;201;202;204;?;?;?;?
0.41,15;41;178;201;?;?;?;?;?
0.45,29;178;23;203;?;?;?;?;?
0.56,41;27;178;104;?;?;?;?;?
0.52,23;202;203;?;?;?;?;?;?
0.46,41;29;203;?;?;?;?;?;?
0.58,20;77;41;?;?;?;?;?;?
0.42,29;27;178;201;202;203;?;?;?
0.43,27;202;203;204;?;?;?;?;?
0.42,41;48;104;201;203;204;?;?;?
0.49,29;28;23;104;201;202;?;?;?
0.6,15;41;178;?;?;?;?;?;?
0.44,29;48;104;202;203;204;?;?;?
0.51,48;178;23;?;?;?;?;?;?
0.49,20;15;77;41;178;1;?;?;?
0.41,77;41;29;104;?;?;?;?;?
0.44,15;41;27;23;104;?;?;?;?
0.44,15;77;23;104;201;202;203;?;?
0.45,29;27;202;203;?;?;?;?;?
0.45,41;29;1;23;104;201;202;?;?
0.6,178;104;201;?;?;?;?;?;?
0.49,77;29;27;1;?;?;?;?;?
0.49,29;1;202;203;?;?;?;?;?
0.42,20;27;178;23;104;?;?;?;?
0.41,77;29;178;1;23;?;?;?;?
0.52,48;202;203;?;?;?;?;?;?
0.49,77;41;29;27;?;?;?;?;?
0.45,41;28;23;201;202;203;?;?;?
0.44,29;27;23;201;203;?;?;?;?
0.48,41;29;48;1;23;201;?;?;?
0.45,41;29;28;178;23;201;?;?;?
0.56,77;29;1;?;?;?;?;?;?
0.4,41;27;1;23;104;201;202;203;?
0.44,20;15;77;29;104;?;?;?;?
0.41,20;15;77;23;104;201;203;?;?
0.41,15;77;41;27;104;?;?;?;?
0.41,77;41;28;1;23;?;?;?;?
0.45,23;201;202;204;?;?;?;?;?
0.51,15;41;27;178;1;?;?;?;?
0.44,41;201;203;204;?;?;?;?;?
0.48,41;1;203;?;?;?;?;?;?
0.6,29;1;23;104;?;?;?;?;?
0.45,29;178;202;203;?;?;?;?;?
0.45,29;178;23;201;202;203;?;?;?
0.45,15;23;104;201;203;?;?;?;?
0.5,29;178;202;?;?;?;?;?;?
0.43,41;27;28;178;1;?;?;?;?
0.45,29;23;104;201;202;203;204;?;?
0.41,15;29;104;201;202;?;?;?;?
0.61,27;178;1;23;?;?;?;?;?
0.45,41;48;1;201;202;203;?;?;?
0.45,20;77;41;28;23;?;?;?;?
0.46,29;1;23;104;201;202;203;?;?
0.45,29;23;104;202;203;204;?;?;?
0.42,20;77;29;27;178;23;?;?;?
0.43,178;104;204;?;?;?;?;?;?
0.44,15;48;1;23;104;?;?;?;?
0.43,27;104;202;203;204;?;?;?;?
0.46,28;178;23;203;?;?;?;?;?
0.46,41;29;201;203;?;?;?;?;?
0.46,29;28;1;202;?;?;?;?;?
0.41,20;28;23;201;?;?;?;?;?
0.45,41;27;1;23;104;202;?;?;?
0.41,41;27;1;23;201;203;?;?;?
0.44,41;23;204;?;?;?;?;?;?
0.41,41;29;48;1;104;202;203;?;?
0.6,41;29;28;23;?;?;?;?;?
0.45,29;48;1;23;202;203;?;?;?
0.54,15;41;29;28;?;?;?;?;?
0.42,20;15;1;23;104;?;?;?;?
0.55,20;15;23;104;?;?;?;?;?
0.4,15;27;23;202;?;?;?;?;?
0.49,77;41;29;178;?;?;?;?;?
0.53,20;41;28;178;?;?;?;?;?
0.42,20;41;178;23;104;?;?;?;?
0.4,15;28;104;202;?;?;?;?;?
0.49,28;1;23;104;201;202;?;?;?
0.45,28;1;104;201;202;203;?;?;?
0.59,41;1;23;104;?;?;?;?;?
0.57,20;77;27;178;?;?;?;?;?
0.5,27;104;201;202;203;?;?;?;?
0.45,48;23;203;204;?;?;?;?;?
0.43,77;41;48;1;23;?;?;?;?
0.4,41;29;28;104;203;?;?;?;?
0.41,41;1;201;203;204;?;?;?;?
0.54,20;77;41;1;?;?;?;?;?
0.45,77;104;201;202;204;?;?;?;?
0.45,41;29;48;1;104;202;?;?;?
0.54,20;15;104;202;?;?;?;?;?
0.49,48;27;178;1;?;?;?;?;?
0.41,20;15;29;48;28;?;?;?;?
0.43,178;201;202;203;204;?;?;?;?
0.41,20;15;23;104;202;203;?;?;?
0.52,201;202;203;?;?;?;?;?;?
0.45,41;29;48;202;203;?;?;?;?
0.49,29;27;104;202;?;?;?;?;?
0.43,28;23;204;?;?;?;?;?;?
0.48,41;28;1;202;?;?;?;?;?
0.44,29;48;28;104;?;?;?;?;?
0.41,41;1;201;202;204;?;?;?;?
0.54,15;29;48;23;?;?;?;?;?
0.41,29;27;28;178;1;?;?;?;?
0.42,41;27;178;104;203;?;?;?;?
0.45,27;178;1;23;104;202;?;?;?
0.51,41;23;203;?;?;?;?;?;?
0.49,28;23;104;201;202;203;?;?;?
0.5,20;77;28;23;?;?;?;?;?
0.6,41;178;23;104;?;?;?;?;?
0.49,20;41;48;23;?;?;?;?;?
0.47,20;77;41;48;23;?;?;?;?
0.43,27;104;202;204;?;?;?;?;?
0.45,41;178;1;23;104;201;202;?;?
0.43,27;28;23;104;?;?;?;?;?
0.51,41;48;1;104;201;?;?;?;?
0.41,29;48;27;178;104;?;?;?;?
0.44,29;48;23;104;201;202;204;?;?
0.46,20;77;48;1;23;?;?;?;?
0.4,41;29;27;203;?;?;?;?;?
0.44,77;27;23;104;?;?;?;?;?
0.48,41;29;48;28;1;?;?;?;?
0.43,15;77;48;27;?;?;?;?;?
0.58,23;104;202;?;?;?;?;?;?
0.45,27;178;1;23;104;201;202;?;?
0.43,178;23;203;204;?;?;?;?;?
0.41,28;178;1;23;201;202;203;?;?
0.43,15;178;23;104;201;?;?;?;?
0.54,29;48;1;104;201;?;?;?;?
0.4,178;1;203;204;?;?;?;?;?
0.4,41;29;27;23;203;?;?;?;?
0.44,41;203;204;?;?;?;?;?;?
0.6,15;77;23;104;?;?;?;?;?
0.41,20;15;41;29;1;23;?;?;?
0.46,41;29;104;201;202;203;?;?;?
0.54,15;41;29;178;?;?;?;?;?
0.45,29;27;201;203;?;?;?;?;?
0.43,41;29;27;1;104;201;?;?;?
0.41,41;48;23;104;201;202;203;204;?
0.54,29;178;201;?;?;?;?;?;?
0.4,41;29;28;104;201;202;203;?;?
0.68,20;77;23;?;?;?;?;?;?
0.45,20;23;104;201;203;?;?;?;?
0.53,20;77;23;104;201;?;?;?;?
0.48,28;178;1;201;202;?;?;?;?
0.41,77;41;178;1;23;?;?;?;?
0.42,48;1;201;202;204;?;?;?;?
0.54,41;27;104;201;?;?;?;?;?
0.52,104;201;202;203;?;?;?;?;?
0.44,29;178;23;104;201;203;?;?;?
0.43,20;15;77;28;1;23;?;?;?
0.41,41;27;1;104;201;202;203;?;?
0.45,41;178;1;23;202;?;?;?;?
0.46,20;15;77;41;48;23;?;?;?
0.55,41;28;201;?;?;?;?;?;?
0.43,29;27;178;1;104;201;?;?;?
0.4,77;178;1;23;104;?;?;?;?
0.4,41;29;178;23;104;201;202;203;?
0.5,77;41;29;48;1;?;?;?;?
0.5,77;27;23;?;?;?;?;?;?
0.55,41;29;201;?;?;?;?;?;?
0.46,20;178;104;?;?;?;?;?;?
0.52,27;178;104;202;?;?;?;?;?
0.41,41;29;27;178;23;104;201;202;?
0.47,41;28;178;23;104;202;?;?;?
0.44,20;41;27;178;23;?;?;?;?
0.48,41;48;201;202;203;?;?;?;?
0.45,15;41;29;48;1;23;?;?;?
0.75,41;29;48;1;?;?;?;?;?
0.5,20;77;23;104;201;202;?;?;?
0.45,41;178;104;201;202;203;?;?;?
