freq,items
0.41,182;29;25;18;17;?;?;?;?
0.53,11;57;5;145;24;?;?;?;?
0.68,5;145;18;170;147;?;?;?;?
0.63,182;56;63;170;?;?;?;?;?
0.49,182;5;145;22;18;170;147;?;?
0.71,11;29;3;?;?;?;?;?;?
0.41,182;56;69;145;18;170;147;7;?
0.57,11;56;18;170;24;?;?;?;?
0.44,29;57;145;18;170;24;147;?;?
0.41,69;3;88;81;?;?;?;?;?
0.45,11;3;22;147;17;?;?;?;?
0.42,182;145;22;24;7;?;?;?;?
0.42,11;25;63;7;?;?;?;?;?
0.67,182;29;22;170;147;?;?;?;?
0.45,11;29;25;145;?;?;?;?;?
0.43,56;25;17;22;18;?;?;?;?
0.58,29;3;24;147;?;?;?;?;?
0.77,182;57;22;170;?;?;?;?;?
0.65,182;3;145;170;?;?;?;?;?
0.73,182;57;145;22;170;?;?;?;?
0.42,182;56;69;3;18;170;24;147;?
0.43,56;29;25;18;170;147;?;?;?
0.42,11;63;147;17;?;?;?;?;?
0.46,69;5;145;22;24;147;?;?;?
0.41,145;22;170;24;147;7;?;?;?
0.81,11;57;22;170;?;?;?;?;?
0.51,25;17;18;24;?;?;?;?;?
0.47,56;29;25;24;?;?;?;?;?
0.43,182;57;5;145;22;24;147;?;?
0.6,57;145;18;24;147;?;?;?;?
0.44,11;56;57;145;7;?;?;?;?
0.58,29;145;22;18;?;?;?;?;?
0.42,25;22;170;147;143;?;?;?;?
0.42,182;56;69;5;22;24;147;?;?
0.47,29;3;26;?;?;?;?;?;?
0.42,11;29;69;5;145;18;?;?;?
0.52,56;25;22;24;147;?;?;?;?
0.61,11;69;145;22;24;147;?;?;?
0.65,57;145;22;18;?;?;?;?;?
0.46,11;69;5;18;170;24;?;?;?
0.44,182;11;63;18;170;147;?;?;?
0.46,182;29;25;63;18;24;147;?;?
0.46,182;25;63;22;18;170;?;?;?
0.58,56;145;18;170;24;147;?;?;?
0.46,11;56;29;25;22;170;?;?;?
0.41,182;69;22;7;143;?;?;?;?
0.41,17;22;170;24;7;?;?;?;?
0.49,11;56;63;18;170;147;?;?;?
0.44,182;56;5;22;18;24;147;?;?
0.67,29;17;147;?;?;?;?;?;?
0.42,11;69;22;24;17;?;?;?;?
0.47,182;56;25;63;170;147;?;?;?
0.4,11;17;5;170;?;?;?;?;?
0.41,11;3;170;24;147;7;?;?;?
0.48,182;145;7;?;?;?;?;?;?
0.51,56;69;5;18;24;?;?;?;?
0.45,56;25;63;18;170;24;?;?;?
