freq,items
0.41,15;29;63;19;19;98;?;?
0.47,20;41;67;19;?;?;?;?
0.41,20;25;63;129;?;?;?;?
0.44,77;41;63;28;?;?;?;?
0.42,77;28;19;10;67;?;?;?
0.55,15;28;67;28;?;?;?;?
0.43,20;77;41;28;10;67;?;?
0.48,15;77;29;67;67;98;?;?
0.47,20;15;77;41;27;?;?;?
0.44,15;77;25;28;67;?;?;?
0.45,77;41;19;67;?;?;?;?
0.4,20;77;29;61;129;?;?;?
0.57,10;19;28;?;?;?;?;?
0.41,20;41;25;19;67;?;?;?
0.48,15;77;29;28;98;?;?;?
0.42,20;77;25;28;67;98;?;?
0.41,20;15;29;25;19;?;?;?
0.42,77;41;29;10;10;?;?;?
0.45,41;63;28;10;67;98;?;?
0.41,28;28;10;28;?;?;?;?
0.43,15;29;19;10;19;?;?;?
0.45,29;17;67;28;?;?;?;?
0.58,29;28;28;28;?;?;?;?
0.43,20;77;41;29;10;67;?;?
0.5,20;15;29;17;?;?;?;?
0.47,41;29;28;10;67;28;?;?
0.43,20;15;41;67;28;?;?;?
0.52,29;10;67;28;67;?;?;?
0.41,20;29;17;67;?;?;?;?
0.48,25;60;121;?;?;?;?;?
0.52,15;77;28;67;67;?;?;?
0.61,41;29;10;98;?;?;?;?
0.4,20;77;41;61;?;?;?;?
0.42,77;41;29;27;178;?;?;?
0.4,15;41;29;67;19;98;?;?
0.45,20;77;29;61;?;?;?;?
0.47,20;15;77;10;67;28;?;?
0.52,63;28;28;98;?;?;?;?
0.42,77;29;25;19;?;?;?;?
0.69,28;19;98;?;?;?;?;?
0.42,15;25;63;10;98;?;?;?
0.48,20;15;77;10;28;67;?;?
0.42,20;29;25;10;67;67;?;?
0.41,77;41;29;19;10;?;?;?
0.41,15;41;29;28;67;19;?;?
0.47,27;178;60;121;?;?;?;?
0.41,20;15;41;29;19;67;98;?
0.46,17;28;28;98;?;?;?;?
0.43,15;29;27;178;121;?;?;?
0.46,20;15;28;67;10;98;?;?
0.55,29;19;10;19;?;?;?;?
0.4,20;77;178;60;?;?;?;?
0.44,20;41;29;19;10;67;?;?
0.44,41;25;121;?;?;?;?;?
0.65,41;28;28;67;?;?;?;?
0.53,20;29;10;28;98;?;?;?
0.44,20;15;77;29;10;19;?;?
0.55,29;28;10;28;67;?;?;?
0.56,15;77;27;28;?;?;?;?
0.59,20;29;67;67;?;?;?;?
0.4,20;15;67;10;28;?;?;?
0.41,20;15;77;63;10;67;?;?
0.51,29;10;67;28;67;98;?;?
0.51,20;15;77;63;28;?;?;?
0.45,25;63;28;67;10;?;?;?
0.45,41;27;178;129;121;?;?;?
0.49,20;15;29;19;10;?;?;?
0.51,41;63;19;98;?;?;?;?
0.4,20;19;19;28;?;?;?;?
0.47,20;15;77;41;28;28;?;?
0.48,41;29;25;63;67;?;?;?
0.44,29;63;10;10;28;?;?;?
0.69,41;29;25;63;?;?;?;?
0.51,41;63;10;10;?;?;?;?
0.45,63;10;28;10;?;?;?;?
0.4,15;77;41;10;67;67;?;?
0.45,20;77;41;10;10;?;?;?
0.4,20;77;41;29;28;10;98;?
0.47,20;29;25;28;10;?;?;?
0.48,20;15;41;27;?;?;?;?
0.51,29;25;63;10;10;?;?;?
0.43,20;25;63;28;10;98;?;?
0.53,20;29;61;?;?;?;?;?
0.46,20;41;10;19;98;?;?;?
0.48,20;15;77;29;17;?;?;?
0.45,28;59;129;?;?;?;?;?
0.43,41;29;59;129;?;?;?;?
0.48,20;63;67;10;?;?;?;?
0.43,20;77;63;10;28;?;?;?
0.59,20;19;10;67;98;?;?;?
0.55,29;25;63;19;?;?;?;?
0.45,41;29;25;129;?;?;?;?
0.4,15;25;63;67;28;?;?;?
0.53,29;63;67;28;?;?;?;?
0.42,15;25;10;28;98;?;?;?
0.42,29;63;19;28;19;?;?;?
0.45,20;77;28;59;?;?;?;?
0.53,20;15;77;67;?;?;?;?
0.41,20;77;25;67;67;98;?;?
0.44,41;25;63;67;10;98;?;?
0.43,15;77;41;67;10;?;?;?
0.43,77;63;19;67;?;?;?;?
0.55,15;77;28;98;?;?;?;?
0.48,20;29;28;19;10;98;?;?
0.46,15;77;27;121;?;?;?;?
0.4,77;41;29;28;67;98;?;?
0.42,77;19;10;28;98;?;?;?
0.41,20;63;28;67;19;?;?;?
0.49,41;29;28;67;10;67;98;?
0.42,41;63;67;10;67;98;?;?
0.43,20;15;77;121;?;?;?;?
0.54,29;25;10;10;98;?;?;?
0.43,15;29;63;28;67;98;?;?
0.41,15;77;29;10;10;67;?;?
0.41,15;25;28;67;10;?;?;?
0.55,25;10;10;98;?;?;?;?
0.45,20;29;28;10;67;28;?;?
0.43,15;29;25;60;?;?;?;?
