freq,items
0.45,28;178;27;4;79;231;?
0.48,27;4;86;1;?;?;?
0.48,28;4;79;1;?;?;?
0.6,178;94;86;79;?;?;?
0.52,182;29;27;?;?;?;?
0.61,94;79;231;?;?;?;?
0.41,182;178;180;59;?;?;?
0.43,27;27;86;1;?;?;?
0.43,182;29;27;86;?;?;?
0.44,178;29;27;79;231;?;?
0.63,178;29;86;79;?;?;?
0.4,28;29;27;86;79;231;?
0.43,27;29;59;27;?;?;?
0.47,27;29;94;231;?;?;?
0.47,182;178;4;79;?;?;?
0.48,182;29;94;79;?;?;?
0.41,182;28;27;27;?;?;?
0.41,28;178;29;94;86;79;?
0.47,182;28;27;79;?;?;?
0.41,182;178;29;180;?;?;?
0.77,29;180;59;?;?;?;?
0.45,29;180;59;4;79;?;?
0.75,29;27;79;?;?;?;?
0.46,28;27;27;94;86;?;?
0.79,29;4;86;?;?;?;?
0.6,27;29;27;94;79;?;?
0.46,29;27;94;1;?;?;?
0.44,29;94;86;231;?;?;?
0.47,27;29;27;94;86;79;?
0.4,178;27;180;231;?;?;?
0.44,28;178;94;4;86;?;?
0.48,28;180;94;?;?;?;?
0.49,27;29;86;79;231;?;?
0.43,27;29;180;27;?;?;?
0.43,182;28;178;94;?;?;?
0.49,28;180;1;?;?;?;?
0.5,182;178;94;?;?;?;?
0.44,29;27;94;79;1;?;?
0.4,28;29;180;59;94;?;?
0.4,182;4;231;?;?;?;?
0.52,28;178;29;94;79;?;?
0.5,182;178;4;?;?;?;?
0.83,27;27;94;?;?;?;?
0.43,28;178;29;94;86;?;?
0.49,28;27;29;27;94;?;?
0.55,28;27;86;231;?;?;?
0.6,28;178;27;4;86;?;?
0.4,27;29;180;27;94;?;?
0.66,28;29;4;79;?;?;?
0.54,27;29;1;?;?;?;?
0.57,28;27;231;?;?;?;?
0.5,182;28;94;?;?;?;?
0.51,27;27;94;4;86;?;?
0.44,28;180;59;1;?;?;?
0.42,28;178;27;4;86;79;231
0.66,28;178;4;86;?;?;?
0.43,28;29;94;4;86;?;?
0.47,59;94;79;?;?;?;?
0.57,27;27;231;?;?;?;?
0.46,178;59;79;?;?;?;?
0.57,28;178;27;4;86;79;?
0.69,28;178;59;?;?;?;?
0.41,28;29;27;94;4;86;?
0.51,29;94;4;86;?;?;?
0.42,28;178;180;94;?;?;?
0.43,28;27;27;231;?;?;?
0.68,28;27;180;?;?;?;?
0.44,27;180;59;94;?;?;?
0.46,27;178;59;?;?;?;?
0.52,28;29;180;231;?;?;?
0.6,29;27;94;86;?;?;?
0.4,28;178;29;4;79;231;?
0.52,27;27;1;?;?;?;?
0.4,28;29;180;86;79;?;?
0.54,29;59;4;?;?;?;?
0.57,28;27;1;?;?;?;?
0.56,29;94;79;231;?;?;?
0.55,27;27;94;79;231;?;?
0.41,29;27;94;86;79;231;?
0.51,59;4;79;?;?;?;?
0.43,182;27;29;180;?;?;?
0.42,178;29;59;86;?;?;?
0.78,27;4;86;79;?;?;?
0.42,28;29;86;1;?;?;?
0.4,182;28;178;29;?;?;?
0.49,28;178;4;231;?;?;?
0.51,28;27;29;86;?;?;?
0.45,178;27;4;1;?;?;?
0.69,28;27;59;?;?;?;?
0.45,27;178;79;?;?;?;?
0.43,29;94;86;79;231;?;?
0.4,28;178;29;86;231;?;?
0.5,28;29;79;231;?;?;?
0.47,180;59;1;?;?;?;?
0.51,178;94;4;86;?;?;?
0.44,27;29;59;4;?;?;?
0.53,28;178;29;4;86;?;?
0.49,180;59;94;?;?;?;?
0.5,178;94;1;?;?;?;?
0.52,27;94;1;?;?;?;?
0.49,178;180;59;231;?;?;?
0.43,182;178;27;86;79;?;?
0.47,178;29;4;231;?;?;?
0.56,28;94;4;?;?;?;?
0.63,178;29;4;79;?;?;?
0.42,27;27;4;1;?;?;?
0.62,28;29;4;86;79;?;?
0.59,178;29;27;79;?;?;?
0.43,27;29;94;4;79;?;?
0.41,27;180;59;86;79;?;?
0.61,27;94;231;?;?;?;?
0.45,28;180;4;79;?;?;?
0.5,29;180;59;27;?;?;?
0.42,28;180;59;27;94;?;?
0.45,27;180;59;86;?;?;?
0.54,182;27;27;?;?;?;?
0.4,28;178;180;79;?;?;?
0.41,178;29;59;27;?;?;?
0.43,178;29;27;94;231;?;?
0.48,178;29;94;86;79;?;?
0.51,27;29;180;231;?;?;?
0.63,29;94;86;?;?;?;?
0.56,178;59;231;?;?;?;?
0.41,178;29;86;1;?;?;?
0.42,28;178;59;1;?;?;?
0.42,182;28;29;180;?;?;?
0.57,29;4;79;231;?;?;?
0.48,180;4;86;79;?;?;?
0.7,27;29;4;?;?;?;?
0.42,29;59;27;79;?;?;?
0.43,27;29;27;94;4;?;?
0.46,28;4;86;1;?;?;?
0.48,28;94;79;1;?;?;?
0.42,29;27;94;86;231;?;?
0.56,28;27;94;79;231;?;?
0.47,182;29;180;59;?;?;?
0.61,27;27;4;86;79;?;?
0.52,178;27;4;231;?;?;?
0.42,28;178;180;86;?;?;?
0.45,182;29;27;94;79;?;?
0.42,28;178;59;27;?;?;?
0.67,29;27;4;?;?;?;?
0.56,178;180;231;?;?;?;?
0.5,27;29;59;231;?;?;?
0.57,94;4;79;?;?;?;?
0.41,28;29;180;59;86;?;?
0.42,182;27;27;86;79;?;?
0.44,180;27;79;?;?;?;?
0.64,28;29;94;79;?;?;?
0.51,178;27;4;79;231;?;?
0.44,28;27;94;86;79;231;?
0.5,29;180;59;86;?;?;?
0.84,27;94;79;?;?;?;?
0.49,28;178;231;?;?;?;?
